Event,FIGHTER,OPEN,CURRENT,IMPLIED,ELO,GPT,SIM,MMA-AI,CAPPERS,GROK,CLAUDE,GEMINI,CHAT GPT,DEEP SEEK,AI-AVERAGE,MODEL 75,NEW MODEL,SCRAP,CAGE PICKS,CAGE PICKS,ELO/IMPLIED,RESULTS,METHOD,ROUND
UFC 327,Kelvin Gastelum,-200,-274,70.55,66.29,60.85,71.4,47.6,93.9,68.9,63.47,71.45,64.88,64.28,66.60,67.16,65.56,62.03,67.21,64.10,64.53,L,SUB,R1
UFC 327,Vicente Luque,170,227,29.45,33.71,39.15,28.6,52.4,6.1,31.1,36.53,28.55,35.12,35.72,33.40,32.84,34.44,37.97,32.79,35.90,35.47,W,SUB,R1
UFC 327,Charles Radtke,-250,-173,61.02,63.39,23.71,60.9,32.9,93.8,63.5,59.14,65.1,65.94,67.19,64.17,63.43,60.53,65.76,59.91,54.80,57.14,W,UD,15
UFC 327,Francisco Prado,210,147,38.98,36.61,76.29,39.1,67.1,6.2,36.5,40.86,34.9,34.06,32.81,35.83,36.57,39.47,34.24,40.09,45.20,42.86,L,UD,15
Winnipeg,Gilbert Burns,255,255,27.22,45.6,14.61,28.6,22.0,19.3,32.47,28.41,28.16,31.84,41.27,32.43,35.10,36.41,29.04,28.42,30.65,36.41,L,KO,R2
Winnipeg,Mike Malott,-305,-305,72.78,54.4,85.39,71.4,78.0,80.7,67.53,71.59,71.84,68.16,58.73,67.57,64.90,63.59,70.96,71.58,69.35,63.59,W,KO,R2
Winnipeg,Kyler Phillips,130,130,42.02,37.39,34.02,42.8,35.7,8.2,48.19,38.22,43.59,46.72,54.33,46.21,42.53,39.71,39.20,42.95,41.95,39.71,L,UD,15
Winnipeg,Charles Jourdain,-150,-150,57.98,62.61,65.98,57.2,64.3,91.8,51.81,61.78,56.41,53.28,45.67,53.79,57.47,60.30,60.80,57.05,58.05,60.30,W,UD,15
Winnipeg,Mandel Nallo,-180,-180,62.11,56.85,63.27,60.4,73.0,75,58.76,64.37,64.92,56.18,68.91,62.63,59.24,59.48,63.98,63.73,62.51,59.48,L,KO,R1
Winnipeg,Jai Herbert,155,155,37.89,43.15,36.73,39.6,27.0,25,41.24,35.63,35.08,43.82,31.09,37.37,40.76,40.52,36.02,36.27,37.49,40.52,W,KO,R1
Winnipeg,Jasmine Jasudavicius,-270,-270,70.66,65.29,53.14,72.6,61.4,96.5,64.12,72.44,68.15,64.55,74.22,68.70,66.69,67.98,69.37,66.33,66.92,67.98,W,UD,15
Winnipeg,Karine Silva,230,230,29.34,34.71,46.86,27.4,38.6,3.5,35.88,27.56,31.85,35.45,25.78,31.30,33.31,32.03,30.63,33.67,33.08,32.03,L,UD,15
Winnipeg,Thiago Moises,112,112,45.33,83.33,33.67,44.9,41.1,46.4,42.11,44.18,52.10,58.44,62.15,51.80,56.92,64.33,50.34,47.33,51.87,64.33,L,SD,15
Winnipeg,Gauge Young,-132,-132,54.67,16.67,66.33,55.1,58.9,53.6,57.89,55.82,47.90,41.56,37.85,48.20,43.08,35.67,49.66,52.67,48.13,35.67,W,SD,15
Winnipeg,Dennis Buzukja,355,355,21.14,20.2,28.21,20.0,32.2,4.8,28.66,24.33,25.45,25.08,44.12,29.53,23.33,20.67,24.93,28.51,26.20,20.67,L,KO,R1
Winnipeg,Marcio Barbosa,-455,-455,78.86,79.8,71.79,80.0,67.8,95.2,71.34,75.67,74.55,74.92,55.88,70.47,76.67,79.33,75.07,71.49,73.80,79.33,W,KO,R1
Winnipeg,Robert Valentin,-135,-135,55.26,44.34,39.67,57.2,68.0,61.5,46.79,57.12,58.20,61.77,68.78,58.53,48.80,49.80,56.24,57.19,54.94,49.80,W,SUB,R1
Winnipeg,Julien Leblanc,115,115,44.74,55.66,60.33,42.8,32.0,38.5,53.21,42.88,41.80,38.23,31.22,41.47,51.20,50.20,43.76,42.81,45.06,50.20,L,SUB,R1
Winnipeg,Tanner Boser,138,138,40.87,52.09,80.97,41.7,45.3,24.4,62.45,41.33,38.70,57.88,61.55,52.38,51.80,46.48,49.75,53.74,51.76,46.48,L,KO,R2
Winnipeg,Gokhan Saricam,-155,-155,59.13,47.91,19.03,58.3,54.7,75.6,37.55,58.67,61.30,57.88,38.45,50.77,48.20,53.52,51.68,48.24,49.61,53.52,W,KO,R2
Winnipeg,Melissa Croden,-135,-135,57.24,45.86,65.1,58.3,53.6,74.7,55.78,38.44,54.12,45.09,48.22,48.33,52.96,51.55,54.22,52.33,52.34,51.55,W,UD,15
Winnipeg,Daria Zhelezniakova,133,133,42.76,54.14,34.9,41.7,46.4,25.3,44.22,61.56,45.88,54.91,51.78,51.67,47.04,48.45,45.78,47.67,47.66,48.45,L,UD,15
Winnipeg,JJ Aldrich,135,135,41.18,40.06,42.36,41.7,47.5,13.9,40.33,36.22,32.55,32.67,60.77,40.51,40.52,40.62,39.02,41.76,41.23,40.62,W,UD,15
Winnipeg,Jamey-Lyn Horth,-155,-155,58.82,59.94,57.64,58.3,52.5,86.1,59.67,63.78,67.45,67.33,39.23,59.49,59.48,59.38,60.98,58.24,58.77,59.38,L,UD,15
Winnipeg,John Castaneda,-120,-120,52.17,78.93,41.61,54.3,46.1,60.5,54.89,50.44,55.80,55.88,49.88,53.38,62.00,65.55,54.59,51.11,55.23,65.55,MD,DRAW,15
Winnipeg,Mark Vologdin,100,100,47.83,21.07,58.39,45.7,53.9,39.5,45.11,49.56,44.20,44.12,50.12,46.62,38.00,34.45,45.41,48.89,44.77,34.45,MD,DRAW,15
Winnipeg,Jamie Siraj,-256,-256,69.44,85.21,43.87,69.6,61.6,93,65.12,71.88,72.15,71.11,68.88,69.83,73.26,77.33,70.17,65.53,68.94,77.33,L,KO,R1
Winnipeg,John Yannis,216,216,30.56,14.79,56.13,30.4,38.4,7,34.88,28.12,27.85,28.89,31.12,30.17,26.74,22.68,29.83,34.47,31.06,22.68,W,KO,R1
Perth,Jack Della Maddalena,150,-103,48.48,44.74,72.58,47.4,57.2,34.0,48.12,47.82,51.42,54.82,51.78,50.79,47.11,49.04,50.76,53.89,52.66,46.61,L,KO,R3
Perth,Carlos Prates,-175,-117,51.52,55.26,27.42,52.6,42.8,66.0,51.88,52.18,48.58,45.18,48.22,49.21,52.89,50.96,49.24,46.11,47.34,53.39,W,KO,R3
Perth,Beneil Dariush,210,340,21.81,71.88,45.4,21.3,18.0,4.1,42.67,28.67,29.14,31.44,34.15,33.21,45.45,41.68,31.69,31.35,33.41,46.85,L,KO,R1
Perth,Quillan Salkilld,-250,-440,78.19,28.12,54.6,78.7,82.0,95.9,57.33,71.33,70.86,68.56,65.85,66.79,54.55,58.32,68.31,68.65,66.59,53.16,W,KO,R1
Perth,Tim Elliott,210,290,24.73,73.39,37.85,24.3,30.7,26.5,39.84,41.28,31.95,38.66,42.55,38.86,45.99,44.67,37.43,35.89,37.59,49.06,L,UD,15
Perth,Steve Erceg,-250,-355,75.27,26.61,62.15,75.7,69.3,73.5,60.16,58.72,68.05,61.34,57.45,61.14,54.01,55.33,62.57,64.11,62.41,50.94,W,UD,15
Perth,Marwan Rahiki,-426,-426,74.3,72.55,50,84.7,61.6,100,82.67,76.44,76.84,79.64,76.92,78.50,76.51,73.48,75.97,73.60,74.03,73.43,W,KO,R1
Perth,Ollie Schmid,257,257,25.7,27.45,50,15.3,38.4,0,17.33,23.56,23.16,20.36,23.08,21.50,23.49,26.52,24.03,26.40,25.97,26.58,L,KO,R1
Perth,Shamil Gaziev,-155,120,43.8,80.44,27.91,45.7,23.5,16.2,62.45,42.56,46.12,42.19,48.99,48.46,62.23,55.56,43.62,42.43,45.27,62.12,L,KO,R2
Perth,Brando Pericic,135,-140,56.2,19.56,72.09,54.3,76.5,83.8,37.55,57.44,53.88,57.81,51.01,51.54,37.77,44.44,56.38,57.57,54.73,37.88,W,KO,R2
Perth,Tai Tuivasa,-150,-185,62.79,83.41,61.99,61,52.3,78.5,71.23,68.94,69.25,64.21,58.77,66.48,72.48,69.89,66.58,63.46,65.01,73.10,L,UD,15
Perth,Louie Sutherland,130,160,37.21,16.59,38.01,39,47.7,21.5,28.77,31.06,30.75,35.79,41.23,33.52,27.52,30.11,33.42,36.54,34.99,26.90,W,UD,15
Perth,Cam Rowston,-300,-210,65.48,45.05,75.88,65.7,73.0,87.2,53.91,63.41,57.89,58.96,61.33,59.10,54.81,58.10,64.35,63.76,62.59,55.27,W,UD,15
Perth,Robert Bryczek,250,180,34.52,54.95,24.12,34.3,27.0,12.8,46.09,36.59,42.11,41.04,38.67,40.90,45.19,41.90,35.65,36.24,37.41,44.74,L,UD,15
Perth,Jacob Malkoun,-600,-1000,87.57,77.27,79.22,88.7,72.9,97.8,81.34,72.88,88.42,81.63,72.11,79.28,82.06,81.50,81.80,79.65,80.18,82.42,W,UD,15
Perth,Gerald Meerschaert,450,675,12.43,22.73,20.78,11.3,27.1,2.2,18.66,27.12,11.58,18.37,27.89,20.72,17.94,18.50,18.20,20.35,19.82,17.58,L,UD,15
Perth,Junior Tafa,-400,-185,62.79,28.3,42.44,65.7,46.0,69.1,58.76,66.17,63.85,61.82,54.33,60.99,49.95,49.49,56.30,57.38,56.02,45.55,W,KO,R1
Perth,Kevin Christian,330,160,37.21,71.7,57.56,34.3,54.0,30.9,41.24,33.83,36.15,38.18,45.67,39.01,50.05,50.51,43.70,42.62,43.98,54.46,L,KO,R1
Perth,Colby Thicknesse,-110,-110,50,33.36,77.93,54.3,70.5,62.1,47.82,56.44,52.14,55.07,52.44,52.78,43.73,47.23,55.65,58.33,55.96,41.68,W,UD,15
Perth,Vince Morales,-100,-110,50,66.64,22.07,45.7,29.5,37.9,52.18,43.56,47.86,44.93,47.56,47.22,56.27,52.77,44.35,41.67,44.04,58.32,L,UD,15
Perth,Wes Schultz,210,143,39.9,41.05,42.12,39,65.7,22.2,40.66,40.17,40.22,46.16,48.78,43.20,40.54,42.10,42.36,45.35,44.43,40.48,W,SUB,R3
Perth,Ben Johnston,-250,-163,60.1,58.95,57.88,61,34.3,77.8,59.34,59.83,59.78,53.84,51.22,56.80,59.46,57.90,57.64,54.65,55.57,59.53,L,SUB,R3
Perth,Jonathan Micallef,-150,-340,74.6,62.54,66.15,69.6,59.3,90.4,65.87,54.77,65.12,36.55,68.45,58.15,67.67,65.96,64.85,60.73,62.08,68.57,W,SD,15
Perth,Themba Gorimbo,130,280,25.4,37.46,33.85,30.4,40.7,9.6,34.13,45.23,34.88,63.45,31.55,41.85,32.33,34.04,35.15,39.27,37.92,31.43,L,SD,15
Perth,Kody Steele,-185,-215,66.05,29.32,54.35,64.5,27.0,59.1,61.08,38.78,66.12,58.72,54.78,55.90,52.15,49.51,52.71,53.17,52.74,47.69,W,SUB,R1
Perth,Dom Mar Fan,160,185,33.95,70.68,45.65,35.5,73.0,40.9,38.92,61.22,33.88,41.28,45.22,44.10,47.85,50.49,47.29,46.83,47.26,52.32,L,SUB,R1
UFC 328,Khamzat Chimaev,-400,-580,82.1,73.43,71.89,81.2,73.0,93.3,78.63,78.44,78.42,81.63,79.63,79.35,78.05,77.80,79.24,77.86,77.98,77.77,L,SD,25
UFC 328,Sean Strickland,300,439,17.9,26.57,28.11,18.8,27.0,6.7,21.37,21.56,21.58,18.37,20.37,20.65,21.95,22.21,20.76,22.15,22.02,22.24,W,SD,25
UFC 328,Joshua Van,170,138,40.5,43.36,52.76,39.1,45.0,39.4,41.8,42.18,42.15,38.28,44.12,41.71,41.89,42.34,42.60,43.17,42.95,41.93,W,KO,R5
UFC 328,Tatsuro Taira,-200,-162,59.5,56.64,47.24,60.9,55.0,60.6,58.2,57.82,57.85,61.72,55.88,58.29,58.11,57.66,57.40,56.83,57.05,58.07,L,KO,R5
UFC 328,Alexander Volkov,-185,-156,58.7,62.6,39.40,60.9,53.0,59.8,57.9,61.27,61.34,58.84,62.74,60.42,59.73,59.41,57.86,56.92,57.44,60.65,W,UD,15
UFC 328,Waldo Cortes-Acosta,160,133,41.3,37.4,60.60,39.1,47.0,40.2,42.1,38.73,38.66,41.16,37.26,39.58,40.27,40.59,42.14,43.08,42.56,39.35,L,UD,15
UFC 328,Sean Brady,-300,-162,59.5,49.9,62.45,61.6,66.0,52,61.2,63.44,56.22,63.41,61.85,61.22,56.87,57.14,59.78,62.02,61.00,54.70,W,UD,15
UFC 328,Joaquin Buckley,250,138,40.5,50.1,37.55,38.4,34.0,48,38.8,36.56,43.78,36.59,38.15,38.78,43.13,42.86,40.22,37.98,39.00,45.30,L,UD,15
UFC 328,King Green,-200,-360,75.4,86.46,71.53,74.8,73.0,91.3,73.9,72.18,71.89,74.88,72.91,73.15,78.59,78.33,76.20,73.14,74.28,80.93,W,SUB,R1
UFC 328,Jeremy Stephens,170,291,24.6,13.54,28.47,25.2,27.0,8.7,26.1,27.82,28.11,25.12,27.09,26.85,21.41,21.67,23.80,26.86,25.72,19.07,L,SUB,R1
UFC 328,Ateba Gautier,-1000,-1003,87.6,59.5,74.85,89.3,73.0,99,85.4,84.12,84.55,90.84,88.21,86.62,77.50,76.96,83.31,83.78,82.65,73.55,W,KO,R2
UFC 328,Ozzy Diaz,650,674,12.4,40.5,25.15,10.7,27.0,1,14.6,15.88,15.45,9.16,11.79,13.38,22.50,23.04,16.69,16.22,17.35,26.45,L,KO,R2
UFC 328,Joel Alvarez,-400,158,37.3,53.35,34.24,37.8,53.0,38.4,39.1,39.44,41.12,33.72,32.56,37.19,43.25,43.17,40.00,38.87,39.69,45.33,L,SUB,R2
UFC 328,Yaroslav Amosov,330,-186,62.7,46.65,65.76,62.2,47.0,61.6,60.9,60.56,58.88,66.28,67.44,62.81,56.75,56.83,60.00,61.13,60.31,54.68,W,SUB,R2
UFC 328,Grant Dawson,-120,-163,59.7,66.28,80.42,60.9,70.0,51,62.4,64.18,54.20,57.91,64.18,60.57,62.79,63.42,62.83,64.27,63.96,62.99,W,SUB,R3
UFC 328,Mateusz Rebecki,100,139,40.3,33.72,19.58,39.1,30.0,49,37.6,35.82,45.80,42.09,35.82,39.43,37.21,36.58,37.17,35.73,36.04,37.01,L,SUB,R3
UFC 328,Jim Miller,210,258,26.9,39.42,33.9,26.6,37.0,3.1,28.7,28.12,32.15,26.53,25.65,28.23,31.67,32.05,28.01,29.83,30.02,33.16,W,SUB,R1
UFC 328,Jared Gordon,-250,-315,73.1,60.58,66.1,73.4,63.0,96.9,71.3,71.88,67.85,73.47,74.35,71.77,68.33,67.95,71.99,70.17,69.98,66.84,L,SUB,R1
UFC 328,Roman Kopylov,-225,155,37.8,56.82,24.03,36.9,40.0,49,36.5,40.22,44.30,35.08,34.10,38.04,43.71,43.67,39.52,36.39,37.87,47.31,W,UD,15
UFC 328,Marco Tulio,190,-183,62.2,43.18,75.97,63.1,60.0,51,63.5,59.78,55.70,64.92,65.90,61.96,56.29,56.33,60.48,63.61,62.13,52.69,L,UD,15
UFC 328,Pat Sabatini,-270,-202,64.4,73.86,62.28,64.5,54.0,86,66.8,67.88,62.45,68.17,68.22,66.70,68.35,67.52,67.14,64.29,65.13,69.13,W,UD,15
UFC 328,William Gomis,230,171,35.6,26.14,37.72,35.5,46.0,14,33.2,32.12,37.55,31.83,31.78,33.30,31.65,32.48,32.86,35.71,34.87,30.87,L,UD,15
UFC 328,Baisangur Susurkaev,-500,-678,83.9,76.7,67.81,84.7,73.0,96,81.7,81.44,80.12,84.41,86.45,82.82,80.77,80.18,81.48,79.95,80.17,80.30,W,SUB,R3
UFC 328,Djorden Santos,375,499,16.1,23.3,32.19,15.4,27.0,4,18.3,18.56,19.88,15.59,13.55,17.18,19.23,19.82,18.53,20.06,19.84,19.70,L,SUB,R3
UFC 328,Clayton Carpenter,160,147,39,45.01,38.02,38.4,56.0,16.3,40.2,41.88,42.50,40.17,39.89,40.93,41.40,42.05,39.76,42.13,41.87,42.01,L,UD,15
UFC 328,Jose Ochoa,-185,-173,61,54.99,61.98,61.6,44.0,83.7,59.8,58.12,57.50,59.83,60.11,59.07,58.60,57.95,60.24,57.87,58.13,58.00,W,UD,15
Vegas 117,Arnold Allen,-150,-155,58.82,46.78,32.81,56.3,55.0,48.3,48.72,56.31,58.12,58.74,58.32,56.04,51.44,52.88,52.57,53.04,52.85,52.80,W,UD,25
Vegas 117,Melquizael Costa,130,135,41.18,53.22,67.19,43.7,45.0,51.7,51.28,43.69,41.88,41.26,41.68,43.96,48.56,47.12,47.43,46.96,47.15,47.20,L,UD,25
Vegas 117,Doo Ho Choi,-110,145,39.6,45.16,46.11,40.7,39.0,31.4,44.81,45.99,42.15,37.17,44.21,42.87,43.19,42.43,41.48,42.52,42.48,42.38,W,KO,R2
Vegas 117,Daniel Santos,-110,-165,60.4,54.84,53.89,59.3,61.0,68.6,55.19,54.01,57.85,62.83,55.79,57.13,56.81,57.57,58.52,57.48,57.52,57.62,L,KO,R2
Vegas 117,Malcolm Wellmaker,-300,-220,66.21,19.26,71.75,70.5,67.0,66.7,28.41,70.62,74.82,71.62,71.54,63.40,37.96,50.42,61.68,65.78,61.84,42.74,L,SUB,R2
Vegas 117,Juan Diaz,250,185,33.79,80.74,28.25,29.5,33.0,33.3,71.59,29.38,25.18,28.38,28.46,36.60,62.04,49.58,38.32,34.22,38.16,57.27,W,SUB,R2
Vegas 117,Modestas Bukauskas,-300,-335,74.28,83.69,69.59,75,59.0,97.9,79.84,72.53,72.15,76.21,81.22,76.39,79.27,77.05,76.49,73.19,74.30,78.99,W,SD,15
Vegas 117,Christian Edwards,250,275,25.72,16.31,30.41,25,41.0,2.1,20.16,27.47,27.85,23.79,18.78,23.61,20.73,22.95,23.51,26.81,25.70,21.02,L,SD,15
Vegas 117,Timmy Cuamba,250,150,38.6,52.34,39.57,45.1,34.0,43,49.67,39.23,42.80,40.12,45.67,43.50,46.87,44.32,42.74,42.02,42.68,45.47,L,SUB,R2
Vegas 117,Benardo Sopaj,-300,-175,61.4,47.66,60.43,54.9,66.0,57,50.33,60.77,57.20,59.88,54.33,56.50,53.13,55.68,57.26,57.98,57.32,54.53,W,SUB,R2
Vegas 117,Nikolay Veretennikov,130,-105,48.92,37.58,36.92,48.3,54.0,48.8,41.23,37.09,46.60,32.09,48.99,41.20,42.58,43.22,43.68,43.15,43.15,43.25,L,KO,R1
Vegas 117,Khaos Williams,-150,-115,51.08,62.42,63.08,51.7,46.0,51.2,58.77,62.91,53.40,67.91,51.01,58.80,57.42,56.78,56.32,56.85,56.85,56.75,W,KO,R1
Vegas 117,Tuco Tokkos,250,145,39.33,40.22,41.54,39.1,33.0,52.5,37.85,55.73,40.60,36.86,36.22,41.45,39.13,39.89,41.18,40.11,40.10,39.78,L,UD,15
Vegas 117,Ivan Erslan,-300,-170,60.67,59.78,58.46,60.9,67.0,47.5,62.15,44.27,59.40,63.14,63.78,58.55,60.87,60.11,58.82,59.89,59.90,60.23,W,UD,15
Vegas 117,Tommy Gantt,-400,-263,70.06,61.02,75.46,64.5,68.0,94.3,61.74,55.50,66.82,57.11,68.41,61.92,64.27,65.26,67.54,64.69,64.94,65.54,W,KO,R2
Vegas 117,Artur Minev,330,223,29.94,38.98,24.54,35.5,32.0,5.7,38.26,44.50,33.18,42.89,31.59,38.08,35.73,34.74,32.46,35.31,35.06,34.46,L,KO,R2
Vegas 117,Ketlen Vieira,120,145,39.33,66.45,37.25,40.7,32.0,23.7,62.18,60.84,42.10,38.72,44.12,49.59,55.99,50.17,44.31,44.74,46.09,52.89,W,UD,15
Vegas 117,Jacqueline Cavalcanti,-140,-170,60.67,33.55,62.75,59.3,68.0,76.3,37.82,39.16,57.90,61.28,55.88,50.41,44.01,49.83,55.69,55.26,53.91,47.11,L,UD,15
Vegas 117,Andre Petroski,-185,-200,64.29,68.08,60.68,65.7,68.0,51.3,64.91,61.55,64.20,73.45,72.89,67.40,65.76,66.26,65.00,66.42,66.24,66.19,L,KO,R2
Vegas 117,Cody Brundage,160,170,35.71,31.92,39.32,34.3,32.0,48.7,35.09,38.45,35.80,26.55,27.11,32.60,34.24,33.74,35.00,33.58,33.76,33.82,W,KO,R2
Vegas 117,Alice Ardelean,-250,-210,65.48,68.53,40.14,64.5,64.0,83.3,66.42,71.07,62.10,41.66,66.71,61.59,66.81,64.53,63.08,59.58,60.88,67.01,W,SUB,R2
Vegas 117,Polyana Viana,210,180,34.52,31.47,59.86,35.5,36.0,16.7,33.58,28.93,37.90,58.34,33.29,38.41,33.19,35.47,36.92,40.43,39.12,33.00,L,SUB,R2
Vegas 117,Daniel Barez,-110,-107,49.35,60.52,22.71,43.7,40.0,70.4,55.76,50.12,45.90,55.92,47.22,50.98,55.21,51.68,49.24,45.17,46.89,54.94,L,UD,15
Vegas 117,Luis Gurule,-110,-113,50.65,39.48,77.29,56.3,60.0,29.6,44.24,49.88,54.10,44.08,52.78,49.02,44.79,48.32,50.76,54.83,53.11,45.07,W,UD,15
Vegas 117,Shauna Bannon,190,210,31.11,48.45,33.88,30.9,39.0,20,36.14,35.17,31.50,30.59,32.88,33.26,38.57,37.77,33.60,33.76,34.48,39.78,L,SUB,R3
Vegas 117,Nicolle Caliari,-225,-250,68.89,51.55,66.12,69.1,61.0,80,63.86,64.83,68.50,69.41,67.12,66.74,61.43,62.23,66.40,66.24,65.52,60.22,W,SUB,R3
Macau,Yadong Song,-300,-600,82.23,55.91,72.12,77.2,73.0,100.0,78.4,79.63,81.45,80.63,68.41,77.70,72.18,71.50,77.18,76.36,75.67,69.07,W,SUB,R2
Macau,Deiveson Figueiredo,250,440,17.77,44.09,27.88,22.8,27.0,0.0,21.6,20.37,18.55,19.37,31.59,22.30,27.82,28.50,22.82,23.65,24.33,30.93,L,SUB,R2
Macau,Mingyang Zhang,-300,-258,69.08,53.62,59.85,65.7,73.0,90.6,64.7,66.14,67.82,72.84,73.22,68.94,62.47,63.54,68.78,67.91,67.16,61.35,L,KO,R1
Macau,Alonzo Menifield,250,210,30.92,46.38,40.15,34.3,27.0,9.4,35.3,33.86,32.18,27.16,26.78,31.06,37.53,36.46,31.22,32.09,32.84,38.65,W,KO,R1
Macau,Sergei Pavlovich,-250,-625,82.71,94.02,68.42,76.6,57.4,95.2,79.2,74.88,83.15,66.72,80.15,76.82,85.31,83.35,78.04,73.32,75.54,88.37,W,KO,R1
Macau,Tallison Teixeira,210,455,17.29,5.98,31.58,23.4,42.6,4.8,20.8,25.12,16.85,33.28,19.85,23.18,14.69,16.65,21.96,26.69,24.46,11.64,L,KO,R1
Macau,Kai Asakura,-300,-285,70.95,87.78,75.37,72.2,52.8,92.7,67.9,57.43,69.44,43.87,76.54,63.04,75.54,74.39,69.73,64.44,66.64,79.37,W,KO,R1
Macau,Cameron Smotherman,250,230,29.05,12.22,24.63,27.8,47.2,7.3,32.1,42.57,30.56,56.13,23.46,36.96,24.46,25.61,30.27,35.56,33.36,20.64,L,KO,R1
Macau,Jake Matthews,-225,-410,77.15,63.5,77.97,73.4,79.0,95.1,71.5,64.82,78.6,76.31,71.88,72.62,70.72,71.61,75.38,74.19,73.78,70.33,W,UD,15
Macau,Carlston Harris,190,320,22.85,36.5,22.03,26.6,21.0,4.9,28.5,35.18,21.4,23.69,28.12,27.38,29.28,28.39,24.62,25.82,26.22,29.68,L,UD,15
Macau,Alex Perez,-110,-130,54.27,69.82,22.65,52.2,46.8,66.3,53.8,53.94,56.12,55.87,52.17,54.38,59.30,57.76,53.09,49.19,51.07,62.05,NC,NC,15
Macau,Sumudaerji,-110,110,45.73,30.18,77.35,47.8,53.2,33.7,46.2,46.06,43.88,44.13,47.83,45.62,40.70,42.24,46.91,50.81,48.93,37.96,NC,NC,15
Macau,Luis Felipe Dias,-200,-180,61.64,67.25,54.38,59.3,54.9,84.6,41.3,55.69,59.42,58.22,66.23,56.17,56.73,61.69,60.27,56.18,57.03,64.45,W,KO,R1
Macau,Yi Sak Lee,170,150,38.36,32.75,45.62,40.7,45.1,15.4,58.7,44.31,40.58,47.34,33.77,44.94,43.27,38.54,40.24,44.52,43.56,35.56,L,KO,R1
Macau,Meng Ding,-250,-125,53.25,79.12,41.03,50.6,50.4,84.8,54.9,40.86,54.63,47.34,54.1,50.37,62.42,60.53,55.55,49.23,51.80,66.19,L,SD,15
Macau,Jose Henrique,210,105,46.75,20.88,58.97,49.4,49.6,15.2,45.1,59.14,45.37,52.66,45.9,49.63,37.58,39.47,44.45,50.77,48.20,33.82,W,SD,15
Macau,Aoriqileng,250,285,24.92,48.49,15.22,25.2,35.0,7.6,29.8,27.42,22.76,22.48,31.23,26.74,34.40,33.18,26.37,26.14,27.43,36.71,L,KO,R2
Macau,Cody Haddon,-300,-360,75.08,51.51,84.78,74.8,65.0,92.4,70.2,72.58,77.24,77.52,68.77,73.26,65.60,66.82,73.63,73.86,72.57,63.30,W,KO,R2
Macau,Rei Tsuruya,-400,-305,72.21,66.57,67.63,60.1,73.0,82.2,73.6,63.47,74.52,74.85,71.25,71.54,70.79,69.53,70.85,69.80,69.95,69.39,W,SUB,R1
Macau,Luis Gurule,170,245,27.79,33.43,32.37,39.9,27.0,17.8,26.4,36.53,25.48,25.15,28.75,28.46,29.21,30.47,29.15,30.20,30.05,30.61,L,SUB,R1
Macau,Angela Hill,210,164,36.31,14.26,43.3,39.6,40.9,17.7,38.7,38.74,38.15,39.46,35.89,38.19,29.76,29.97,34.82,39.34,37.39,25.29,W,UD,15
Macau,Jingnan Xiong,-250,-198,63.69,85.74,56.7,60.4,59.1,82.3,61.3,61.26,61.85,60.54,64.11,61.81,70.24,70.03,65.18,60.66,62.61,74.72,L,UD,15
Macau,Kangjie Zhu,210,100,47.83,47,49.52,48.3,45.4,40.3,47.2,42.28,46.82,45.29,49.12,46.14,47.34,47.19,46.28,46.74,46.79,47.42,W,KO,R1
Macau,Rodrigo Vera,-250,-120,52.17,53,50.48,51.7,54.6,59.7,52.8,57.72,53.18,54.71,50.88,53.86,52.66,52.81,53.72,53.26,53.21,52.59,L,KO,R1
Macau,Loma Lookboonmee,210,114,44.86,43.96,53.14,46.8,53.8,52.5,43.9,44.82,43.6,43.18,40.56,43.21,44.24,45.02,46.47,46.23,45.98,44.41,L,SUB,R1
Macau,Jaqueline Amorim,-250,-135,55.14,56.04,29.37,53.2,46.2,47.5,56.1,55.18,56.4,56.82,59.44,56.79,55.76,54.26,51.94,51.59,52.19,55.59,W,SUB,R1
Vegas 118,Belal Muhammad,130,-125,53.25,61.61,13.3,52.6,49.0,72.9,46.8,56.31,51.14,54.72,58.34,53.46,53.89,54.21,51.82,47.78,49.16,57.43,L,UD,25
Vegas 118,Gabriel Bonfim,-150,105,46.75,38.39,86.7,47.4,51.0,27.1,53.2,43.69,48.86,45.28,41.66,46.54,46.11,45.79,48.18,52.22,50.84,42.57,W,UD,25
Vegas 118,Brendan Allen,-350,-210,65.48,83.89,54.17,65.7,65.4,91.6,67.9,71.42,68.12,69.43,67.21,68.82,72.42,71.85,70.03,66.17,67.48,74.69,W,UD,15
Vegas 118,Edmen Shahbazyan,285,180,34.52,16.11,45.83,34.3,34.6,8.4,32.1,28.58,31.88,30.57,32.79,31.18,27.58,28.15,29.97,33.83,32.52,25.32,L,UD,15
Vegas 118,Fares Ziam,-185,-310,73.13,80.5,75.78,72.6,64.3,89.7,73.6,74.83,74.33,73.88,74.88,74.30,75.74,75.55,75.23,73.03,73.65,76.82,L,UD,15
Vegas 118,Tom Nolan,160,260,26.87,19.5,24.22,27.4,35.7,10.3,26.4,25.17,25.67,26.12,25.12,25.70,24.26,24.45,24.77,26.98,26.35,23.19,W,UD,15
Vegas 118,Bryce Mitchell,-250,-140,56.2,82.4,54.33,56.3,43.2,56.7,58.7,56.88,59.84,57.04,62.15,58.92,65.77,64.89,58.52,56.06,57.81,69.30,W,SUB,R3
